Serial_Number,Model,capacity_bytes,date,failure,Prediction,Confidence_Level,Active_Probability,Failure_Probability
S300Z3YX,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z305D6JG,ST4000DM000,4000787030016,2023-03-12,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
ZL005DE3,ST12000NM0008,12000138625024,2023-03-13,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
ZHZ63ED3,ST12000NM0008,12000138625024,2023-01-07,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
ZHZ47Y1A,ST12000NM0008,12000138625024,2023-03-05,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
S2ZYJ9CG107970,ST500LM012 HN,500107862016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
ZLW17S97,ST14000NM001G,14000519643136,2023-01-28,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
AAHKX3SH,HGST HUH721212ALN604,12000138625024,2023-01-06,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
8HJ9G5HH,HGST HUH721212ALN604,12000138625024,2023-03-14,fail,Predicted_to_be_fail,-1.5435020027249848,0.04364652142729307,0.9563534785727069
PL2331LAGMSGEJ,HGST HMS5C4040BLE640,4000787030016,2023-03-26,Active,Active,1.5435020027249915,0.9563534785727076,0.04364652142729242
PL2331LAGPAV6J,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL1331LAGREMWH,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGRWDUJ,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL1331LAGRH5VH,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGSSBKJ,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL1331LAHD1AMH,HGST HMS5C4040BLE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGMN93J,HGST HMS5C4040BLE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGULK8J,HGST HDS5C4040ALE630,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL1331LAHEBY2H,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGPLM9J,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGMK38J,HGST HMS5C4040BLE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL1331LAGRZS9H,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGSUY8J,HGST HMS5C4040ALE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
PL2331LAGMKNPJ,HGST HMS5C4040BLE640,4000787030016,2023-03-26,Active,Active,1.5435020027249928,0.9563534785727076,0.04364652142729242
